tab 	er_ages
age	age_culture_name	age_description	age_range_high	age_range_low	age_sigma	age_unit	astronomical_stage	biostrat_zone	conodont_zone	er_citation_names	er_expedition_name	er_formation_name	er_fossil_name	er_location_name	er_member_name	er_mineral_name	er_sample_name	er_site_name	er_specimen_name	er_timescale_citation_names	magic_method_codes	magnetic_reversal_chron	oxygen_stage	tiepoint_alternatives	tiepoint_elevation	tiepoint_height	tiepoint_height_sigma	tiepoint_name	tiepoint_type	timescale_eon	timescale_epoch	timescale_era	timescale_period	timescale_stage
			136	125		Ma				:Channell et al. 1992:				Upper Maiolica Formation						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Cretaceous	Mesozoic	Cretaceous	Hauterivian - Barremian
			488	416		Ma				:Grishin et al. 1991:				Arkalyk Volcanics, Chingiz-Tarbagay, Post-folding						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Ordovician : Pridoli	Paleozoic	Ordovician : Silurian	
			161	100		Ma				:Grishin et al. 1991:				Koryak Mesozoic Ophiolites						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Late Jurassic : Early Cretaceous	Mesozoic	Jurassic : Cretaceous	
			444	416		Ma				:Grishin et al. 1991:				Silurian Intrusions, Baked Sediments						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic		Paleozoic	Silurian	
			542	513		Ma				:Grishin et al. 1991:				Karashatsky Massif, Sediments						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Early Cambrian	Paleozoic	Cambrian	
			1650	800		Ma				:Grishin et al. 1991:				Boulgenskaya suite, Main Range						:Gradstein et al. 2004:	:GM-CC-STRAT:									Proterozoic		Mesoproterozoic : Neoproterozoic	Calymmian : Tonian	
			100	89		Ma				:Marton & Nardi 1994:				Apulian Limestones						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Cretaceous	Mesozoic	Cretaceous	Cenomanian - Turonian
			83	23		Ma				:Mattei et al. 1995:				Scaglia Formation, Tiburtini Mountains						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Cretaceous : Oligocene	Mesozoic : Cenozoic	Cretaceous : Paleogene	
			65	23		Ma				:Mattei et al. 1995:				Scaglia Formation, Sabrina Mountains						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Paleocene : Oligocene	Cenozoic	Paleogene	
			23	14		Ma				:Mattei et al. 1995:				Guadagnolo Formation, Prenestini Mountains						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Miocene	Cenozoic	Neogene	
			7	5		Ma				:Mattei et al. 1995:				Messinian Sediments, Roveto Valley						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Miocene	Cenozoic	Neogene	
			125	100		Ma				:Moreau et al. 1997:				Algarve Basin Aptian-Albian Sediments						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Cretaceous	Mesozoic	Cretaceous	Aptian - Albian
			245	228		Ma				:Symons et al. 1995:				Muschelkalk Formation, Comp.A						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Middle Triassic	Mesozoic	Triassic	
			125	100		Ma				:Dinares-Turell & Garcia-Senz 2000:				Organya Aptian-Albian Sediments						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Cretaceous	Mesozoic	Cretaceous	Aptian - Albian
			241	208		Ma				:Jordanova et al. 2001:				Bulgarian Triassic Carbonate						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Middle Triassic : Late Triassic	Mesozoic	Triassic	
			271	260		Ma				:Jowett et al. 1987:				Barren pyrite facies & copper sulphide ores						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Guadalupian	Paleozoic	Permian	
