tab	images
location	site	file	keywords	title	type	citations	photographers	timestamp
McMurdo	mc206	DSC_0016.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	MC206 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc206	DSC_0017.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	MC206 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc206	DSC_0018.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	MC206 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc206	DSC_0019.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	MC206 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc206	DSC_0020.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	MC206 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc206	DSC_0021.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	MC206 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc206	DSC_0022.JPG	McMurdo Volcanics: paleomagnetic sampling :Turk's head	MC206 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-02T00:00:00Z
McMurdo	mc207	DSC_0091.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0092.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0093.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0094.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0095.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0096.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0097.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0098.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0099.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0100.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0101.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0102.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0103.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0104.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0105.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc207	DSC_0118.JPG	McMurdo Volcanics: paleomagnetic sampling :Big Razorback	MC207 outcrop overview	Outcrop	This study	Hubert Staudigel	2006-12-03T00:00:00Z
McMurdo	mc208	DSC_0107.JPG	McMurdo Volcanics: paleomagnetic sampling :Tent Island	MC208 outcrop overview	Outcrop	This study	Hubert Staudigel	2006-12-04T00:00:00Z
McMurdo	mc208	DSC_0108.JPG	McMurdo Volcanics: paleomagnetic sampling :Tent Island	MC208 outcrop overview	Outcrop	This study	Hubert Staudigel	2006-12-04T00:00:00Z
McMurdo	mc208	DSC_0110.JPG	McMurdo Volcanics: paleomagnetic sampling :Tent Island	MC208 outcrop overview	Outcrop	This study	Hubert Staudigel	2006-12-04T00:00:00Z
McMurdo	mc208	DSC_0119.JPG	McMurdo Volcanics: paleomagnetic sampling :Tent Island	MC208 detail of samples	Outcrop	This study	Hubert Staudigel	2006-12-04T00:00:00Z
